player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_sca_sca,header_sca_sca_per90,header_sca_types_sca_passes_live,header_sca_types_sca_passes_dead,header_sca_types_sca_dribbles,header_sca_types_sca_shots,header_sca_types_sca_fouled,header_gca_gca,header_gca_gca_per90,header_gca_types_gca_passes_live,header_gca_types_gca_passes_dead,header_gca_types_gca_dribbles,header_gca_types_gca_shots,header_gca_types_gca_fouled,header_gca_types_gca_og_for,matches
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,54,1.55,38,0,7,4,5,9,0.26,6,0,0,2,1,0,Matches
Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,2,0.06,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,10.6,30,2.83,27,2,1,0,0,2,0.19,2,0,0,0,0,0,Matches
Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,7,2.37,2,0,1,0,4,2,0.68,0,0,0,0,2,0,Matches
Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,20,1.95,15,4,0,0,1,1,0.10,1,0,0,0,0,0,Matches
Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,48,1.60,43,2,2,0,0,6,0.20,4,0,1,0,0,1,Matches
Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,1991,13.6,55,4.05,36,14,2,2,1,6,0.44,5,0,0,1,0,0,Matches
Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,48,2.72,29,0,7,5,7,6,0.34,3,0,1,0,2,0,Matches
Javier Avilés,es ESP,"MF,FW",Leganés,es La Liga,21,1997,2.0,6,2.93,5,0,1,0,0,2,0.98,1,0,1,0,0,0,Matches
Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,10,0.45,8,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Taiwo Awoniyi,ng NGA,FW,Mainz 05,de Bundesliga,21,1997,5.4,12,2.24,10,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
