player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,1,0,0,11,2,0,18.2,0.58,0.11,0.09,0.50,0.4,0.4,0.03,+0.6,+0.6,Matches
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1,0,0,15,4,0,26.7,0.62,0.17,0.07,0.25,0.6,0.6,0.04,+0.4,+0.4,Matches
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,0,0,0,23,4,0,17.4,3.78,0.66,0.00,0.00,1.4,1.4,0.06,-1.4,-1.4,Matches
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,0,0,0,8,3,0,37.5,0.44,0.17,0.00,0.00,0.6,0.6,0.08,-0.6,-0.6,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,1,0,0,43,18,0,41.9,2.08,0.87,0.02,0.06,2.5,2.5,0.06,-1.5,-1.5,Matches
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,1,0,0,0.0,1.11,0.00,0.00,,0.2,0.2,0.15,-0.2,-0.2,Matches
Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,0,0,0,16,5,0,31.3,2.88,0.90,0.00,0.00,0.8,0.8,0.05,-0.8,-0.8,Matches
Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,30.5,1,1,1,17,6,0,35.3,0.56,0.20,0.00,0.00,2.0,1.2,0.07,-1.0,-1.2,Matches
Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1,0,0,10,1,0,10.0,0.59,0.06,0.10,1.00,0.9,0.9,0.09,+0.1,+0.1,Matches
Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,0,0,0,1,0,0,0.0,0.54,0.00,0.00,,0.1,0.1,0.11,-0.1,-0.1,Matches
Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,1,0,0,23,8,0,34.8,1.38,0.48,0.04,0.13,2.5,2.5,0.11,-1.5,-1.5,Matches
Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,12,1,2,61,35,0,57.4,2.05,1.17,0.18,0.31,12.5,11.0,0.18,-0.5,0.0,Matches
Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,1,0,0,1,1,0,100.0,1.23,1.23,1.00,1.00,0.2,0.2,0.15,+0.8,+0.8,Matches
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,2,0,0,16,3,0,18.8,0.70,0.13,0.13,0.67,1.0,1.0,0.06,+1.0,+1.0,Matches
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,3.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1,0,0,50,7,4,14.0,1.75,0.24,0.02,0.14,2.1,2.1,0.04,-1.1,-1.1,Matches
Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,0,0,4,0,0,0.0,0.35,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1,0,1,13,4,0,30.8,1.48,0.46,0.08,0.25,2.5,1.8,0.14,-1.5,-0.8,Matches
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1,0,0,24,7,8,29.2,0.92,0.27,0.04,0.14,0.6,0.6,0.02,+0.4,+0.4,Matches
Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,1,0,0,5,2,0,40.0,0.41,0.16,0.20,0.50,0.7,0.7,0.13,+0.3,+0.3,Matches
Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,0,0,0,5,0,0,0.0,1.06,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,1,0,0,0.0,4.50,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,10.3,0,0,0,14,4,0,28.6,1.36,0.39,0.00,0.00,0.8,0.8,0.06,-0.8,-0.8,Matches
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,18.3,4,0,0,28,8,1,28.6,1.53,0.44,0.14,0.50,1.4,1.4,0.05,+2.6,+2.6,Matches
Janis Antiste,fr FRA,FW,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,1,0,,0.0,7.50,0.00,0.00,,,,,,,Matches
Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,10,1,1,67,30,0,44.8,3.41,1.53,0.13,0.30,11.9,11.1,0.17,-1.9,-2.1,Matches
Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,0,0,0,1,0,0,0.0,0.09,0.00,0.00,,0.1,0.1,0.09,-0.1,-0.1,Matches
