player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_games_starts,header_playing_minutes,header_playing_goals,header_performance_assists,header_performance_pens_made,header_performance_pens_att,header_performance_cards_yellow,header_performance_cards_red,header_performance_goals_per90,header_per90_assists_per90,header_per90_goals_assists_per90,header_per90_goals_pens_per90,header_per90_goals_assists_pens_per90,header_per90_xg,header_expected_npxg,header_expected_xa,header_expected_xg_per90,header_per90_xa_per90,header_per90_xg_xa_per90,header_per90_npxg_per90,header_per90_npxg_xa_per90,header_per90_matches
Mattia Caldara,it ITA,DF,Atalanta,it Serie A,25,1994,12,9,809,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,0.4,0.03,0.05,0.08,0.03,0.08,Matches
Marco Calderoni,it ITA,DF,Lecce,it Serie A,30,1989,25,23,"2,013",3,2,0,0,6,0,0.13,0.09,0.22,0.13,0.22,0.8,0.8,2.0,0.03,0.09,0.12,0.03,0.12,Matches
Fernando Calero,es ESP,DF,Espanyol,es La Liga,23,1995,15,12,"1,043",0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,22,1996,23,20,"1,886",1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,1.3,1.3,0.2,0.06,0.01,0.07,0.06,0.07,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,it Serie A,25,1994,33,32,"2,579",8,8,1,1,6,0,0.28,0.28,0.56,0.24,0.52,7.4,6.7,6.3,0.26,0.22,0.48,0.23,0.45,Matches
Daniel Caligiuri,it ITA,"MF,FW",Schalke 04,de Bundesliga,31,1988,28,26,"2,293",2,2,1,1,5,0,0.08,0.08,0.16,0.04,0.12,3.4,2.6,3.5,0.13,0.14,0.27,0.10,0.24,Matches
José Callejón,es ESP,"FW,MF",Napoli,it Serie A,32,1987,31,24,"2,087",4,7,0,0,2,0,0.17,0.30,0.47,0.17,0.47,5.2,5.2,6.2,0.22,0.27,0.49,0.22,0.49,Matches
Jonathan Calleri,ar ARG,FW,Espanyol,es La Liga,25,1993,27,20,"1,811",1,3,0,0,6,1,0.05,0.15,0.20,0.05,0.20,3.9,3.9,2.1,0.19,0.10,0.29,0.19,0.29,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,22,1997,36,30,"2,626",13,1,0,0,9,0,0.45,0.03,0.48,0.45,0.48,14.4,14.4,1.0,0.49,0.04,0.53,0.49,0.53,Matches
Mahdi Camara,fr FRA,MF,Saint-Étienne,fr Ligue 1,21,1998,12,10,901,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.04,0.01,0.05,0.04,0.05,Matches
Souleymane Camara,sn SEN,"FW,MF",Montpellier,fr Ligue 1,36,1982,13,0,163,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,0.25,0.26,0.51,0.25,0.51,Matches
Víctor Camarasa,es ESP,MF,Crystal Palace,eng Premier League,25,1994,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Víctor Camarasa,es ESP,MF,Alavés,es La Liga,25,1994,17,15,"1,293",0,1,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.6,0.02,0.11,0.13,0.02,0.13,Matches
Eduardo Camavinga,fr FRA,MF,Rennes,fr Ligue 1,16,2002,25,24,"2,107",1,2,0,0,4,0,0.04,0.09,0.13,0.04,0.13,1.1,1.1,0.8,0.05,0.04,0.08,0.05,0.08,Matches
