player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_performance_cards_yellow,header_performance_cards_red,header_performance_cards_yellow_red,header_performance_fouls,header_performance_fouled,header_performance_offsides,header_performance_crosses,header_performance_interceptions,header_performance_tackles_won,header_performance_pens_won,header_performance_pens_conceded,header_performance_own_goals,header_performance_ball_recoveries,header_aerials_aerials_won,header_aerials_aerials_lost,header_aerials_aerials_won_pct,matches
Yves Bissouma,ml MLI,MF,Brighton,eng Premier League,22,1996,14.0,4,0,0,31,15,0,6,22,36,0,0,0,157,17,11,60.7,Matches
Leonardo Bittencourt,de GER,FW,Hoffenheim,de Bundesliga,25,1993,0.0,1,0,0,1,2,1,0,0,0,0,0,0,2,0,0,,Matches
Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,de Bundesliga,25,1993,21.0,6,0,0,52,50,11,85,11,34,0,0,0,134,16,41,28.1,Matches
Birkir Bjarnason,is ISL,"MF,FW",Brescia,it Serie A,31,1988,8.9,1,0,0,16,18,1,13,5,5,0,0,0,60,10,5,66.7,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,24,1995,32.9,4,0,0,1,4,0,0,0,0,0,1,0,135,0,0,,Matches
Ludovic Blas,fr FRA,"FW,MF",Nantes,fr Ligue 1,21,1997,20.5,0,0,0,26,27,1,11,12,15,0,0,0,142,20,39,33.9,Matches
Pablo de Blasis,ar ARG,"DF,MF",Eibar,es La Liga,31,1988,17.8,1,0,0,17,13,1,86,24,30,0,1,0,180,22,45,32.8,Matches
Alejandro Blesa,es ESP,MF,Levante,es La Liga,17,2002,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches
Alexis Blin,fr FRA,MF,Amiens,fr Ligue 1,22,1996,20.5,4,0,0,32,27,1,16,20,43,0,0,0,251,37,35,51.4,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,30,1988,20.0,5,1,0,18,6,0,7,38,13,0,1,0,242,42,14,75.0,Matches
Kevin-Prince Boateng,gh GHA,FW,Fiorentina,it Serie A,32,1987,6.7,2,0,0,12,21,4,4,1,2,0,0,0,25,21,38,35.6,Matches
Antonin Bobichon,fr FRA,MF,Nîmes,fr Ligue 1,23,1995,2.0,0,0,0,4,1,0,16,1,2,0,0,0,16,1,1,50.0,Matches
Antonin Bobichon,fr FRA,MF,Angers,fr Ligue 1,23,1995,7.2,0,0,0,10,6,1,22,4,7,0,0,0,45,3,15,16.7,Matches
Salvatore Bocchetti,it ITA,DF,Hellas Verona,it Serie A,32,1986,3.4,2,0,0,5,2,1,0,18,2,0,0,0,40,15,3,83.3,Matches
Mathieu Bodmer,fr FRA,MF,Amiens,fr Ligue 1,36,1982,1.0,1,0,0,5,0,1,1,1,0,0,0,0,9,6,6,50.0,Matches
Adam Bodzek,de GER,MF,Düsseldorf,de Bundesliga,33,1985,22.4,10,0,0,32,32,0,2,27,27,0,1,0,230,31,23,57.4,Matches
Jean-Paul Boëtius,nl NED,MF,Mainz 05,de Bundesliga,25,1994,25.2,5,0,0,48,59,0,15,28,45,0,0,0,244,13,38,25.5,Matches
Sacha Boey,fr FRA,DF,Rennes,fr Ligue 1,18,2000,1.9,1,0,0,2,4,0,3,3,5,1,0,0,11,1,0,100.0,Matches
Jeremie Boga,ci CIV,FW,Sassuolo,it Serie A,22,1997,27.9,0,0,0,15,56,10,24,4,17,1,2,0,136,5,12,29.4,Matches
Melayro Bogarde,nl NED,DF,Hoffenheim,de Bundesliga,17,2002,0.6,1,0,0,2,1,0,1,0,2,0,0,0,2,1,1,50.0,Matches
Quentin Boisgard,fr FRA,"MF,FW",Toulouse,fr Ligue 1,22,1997,12.7,1,0,0,17,26,0,24,15,23,0,0,0,145,13,18,41.9,Matches
Willy Boly,fr FRA,DF,Wolves,eng Premier League,28,1991,22.0,3,1,1,24,8,1,2,39,40,0,0,0,218,73,27,73.0,Matches
Giacomo Bonaventura,it ITA,"MF,FW",Milan,it Serie A,29,1989,14.0,2,0,0,18,32,2,27,7,13,1,0,0,99,8,21,27.6,Matches
Federico Bonazzoli,it ITA,"FW,MF",Sampdoria,it Serie A,22,1997,8.3,1,0,0,17,35,3,10,4,6,0,0,0,40,4,13,23.5,Matches
Gaëtan Bong,cm CMR,"MF,DF",Brighton,eng Premier League,31,1988,0.7,0,0,0,0,1,0,5,0,0,0,0,0,4,0,3,0.0,Matches
Kevin Bonifazi,it ITA,DF,Torino,it Serie A,23,1996,2.7,0,0,0,4,1,0,0,5,5,0,0,0,24,5,5,50.0,Matches
Kevin Bonifazi,it ITA,DF,SPAL,it Serie A,23,1996,11.2,2,1,0,10,1,1,4,28,11,0,1,0,138,19,8,70.4,Matches
Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,32,1987,32.7,10,0,0,26,18,0,6,30,16,0,3,0,247,59,35,62.8,Matches
Fabio Borini,it ITA,"FW,MF",Hellas Verona,it Serie A,28,1991,7.6,1,1,0,11,24,4,10,11,2,1,0,0,53,8,16,33.3,Matches
Fabio Borini,it ITA,"MF,FW",Milan,it Serie A,28,1991,0.8,1,0,0,1,2,0,0,0,2,0,0,0,6,0,0,,Matches
Dennis Borkowski,de GER,FW,RB Leipzig,de Bundesliga,17,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Robin Bormuth,de GER,DF,Düsseldorf,de Bundesliga,23,1995,2.0,0,0,0,0,2,0,0,1,0,0,0,0,20,4,3,57.1,Matches
