player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_passes_total_passes_completed,header_passes_total_passes,header_passes_total_passes_pct,header_passes_total_passes_total_distance,header_passes_total_passes_progressive_distance,header_passes_short_passes_completed_short,header_passes_short_passes_short,header_passes_short_passes_pct_short,header_passes_medium_passes_completed_medium,header_passes_medium_passes_medium,header_passes_medium_passes_pct_medium,header_passes_long_passes_completed_long,header_passes_long_passes_long,header_passes_long_passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,21,27,77.8,336,127,0,0,,19,21,90.5,2,6,33.3,0,0.1,-0.1,2,4,1,0,5,Matches
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,459,578,79.4,8478,1973,4,14,28.6,360,419,85.9,95,145,65.5,3,2.1,+0.9,18,50,9,0,68,Matches
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,227,314,72.3,6825,3820,2,4,50.0,107,108,99.1,118,202,58.4,0,0.0,0.0,0,3,0,0,0,Matches
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,33,57,57.9,428,88,0,1,0.0,32,48,66.7,1,8,12.5,0,0.0,0.0,0,3,0,0,3,Matches
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,709,969,73.2,12415,6166,11,49,22.4,586,715,82.0,112,205,54.6,0,1.9,-1.9,16,47,21,12,141,Matches
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,722,1014,71.2,12629,6069,9,49,18.4,605,726,83.3,108,239,45.2,1,0.9,+0.1,12,36,14,5,123,Matches
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,36,39,92.3,671,201,0,0,,30,33,90.9,6,6,100.0,0,0.1,-0.1,1,4,2,1,6,Matches
Kevin Agudelo,co COL,"FW,DF",Fiorentina,it Serie A,20,1998,0.1,5,8,62.5,84,43,0,0,,4,7,57.1,1,1,100.0,0,0.0,0.0,0,1,1,0,2,Matches
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,245,301,81.4,3840,902,9,22,40.9,202,230,87.8,34,49,69.4,1,1.4,-0.4,11,20,5,0,17,Matches
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,487,572,85.1,11845,4421,1,8,12.5,292,306,95.4,194,258,75.2,0,0.0,0.0,0,20,0,0,22,Matches
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,284,367,77.4,3736,781,17,38,44.7,249,306,81.4,18,23,78.3,3,2.5,+0.5,16,12,20,0,33,Matches
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,666,791,84.2,11011,4090,12,29,41.4,549,598,91.8,105,164,64.0,2,1.4,+0.6,14,39,25,15,83,Matches
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.5,91,104,87.5,1746,291,1,1,100.0,68,74,91.9,22,29,75.9,0,0.0,0.0,1,4,1,0,6,Matches
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,262,313,83.7,4836,830,5,10,50.0,198,224,88.4,59,79,74.7,1,0.1,+0.9,3,17,0,0,19,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1073,1223,87.7,23981,6712,6,23,26.1,688,752,91.5,379,448,84.6,1,1.0,0.0,2,61,2,0,64,Matches
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,22.5,841,1133,74.2,15060,6255,15,52,28.8,663,762,87.0,163,319,51.1,2,2.3,-0.3,21,56,21,11,132,Matches
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,358,412,86.9,6349,1574,1,9,11.1,294,322,91.3,63,81,77.8,1,0.1,+0.9,4,30,3,0,37,Matches
