player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_tackles_tackles,header_tackles_tackles_won,header_tackles_tackles_def_3rd,header_tackles_tackles_mid_3rd,header_tackles_tackles_att_3rd,header_dribbles_def_dribble_tackles,header_dribbles_def_dribbles_vs,header_dribbles_def_dribble_tackles_pct,header_dribbles_def_dribbled_past,header_pressures_pressures,header_pressures_pressure_regains,header_pressures_pressure_regain_pct,header_pressures_pressures_def_3rd,header_pressures_pressures_mid_3rd,header_pressures_pressures_att_3rd,header_blocks_blocks,header_blocks_blocked_shots,header_blocks_blocked_shots_saves,header_blocks_blocked_passes,interceptions,clearances,errors,matches
Valentino Lazaro,at AUT,"DF,MF",Newcastle Utd,eng Premier League,23,1996,5.3,11,2,9,2,0,6,14,42.9,8,98,22,22.4,46,40,12,6,0,0,6,3,4,0,Matches
Valentino Lazaro,at AUT,"DF,MF",Inter,it Serie A,23,1996,3.6,10,6,4,3,3,6,9,66.7,3,74,18,24.3,25,25,24,5,0,0,5,1,6,1,Matches
Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,28,1990,34.0,32,14,18,8,6,13,36,36.1,23,269,75,27.9,91,96,82,46,4,1,42,19,51,0,Matches
Manuel Lazzari,it ITA,DF,Lazio,it Serie A,25,1993,26.8,18,12,11,7,0,10,29,34.5,19,231,70,30.3,84,108,39,25,2,1,23,10,35,0,Matches
Mickaël Le Bihan,fr FRA,FW,Nice,fr Ligue 1,29,1990,1.1,0,0,0,0,0,0,0,,0,12,3,25.0,1,3,8,0,0,0,0,0,2,0,Matches
Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,22,1996,26.6,45,27,28,17,0,22,36,61.1,14,189,83,43.9,119,67,3,22,7,0,15,21,151,1,Matches
Damien Le Tallec,fr FRA,"MF,DF",Montpellier,fr Ligue 1,29,1990,27.3,51,35,21,26,4,20,72,27.8,52,501,153,30.5,163,253,85,51,17,0,34,39,87,0,Matches
James Lea Siliki,fr FRA,MF,Rennes,fr Ligue 1,23,1996,12.0,29,19,16,13,0,9,26,34.6,17,239,67,28.0,91,120,28,19,3,0,16,12,14,0,Matches
Rafael Leão,pt POR,FW,Milan,it Serie A,20,1999,14.7,8,4,2,6,0,2,8,25.0,6,181,44,24.3,23,72,86,9,1,0,8,0,1,0,Matches
Adrien Lebeau,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,0.1,0,0,0,0,0,0,1,0.0,1,8,2,25.0,2,1,5,1,0,0,1,0,0,0,Matches
Mathew Leckie,au AUS,"DF,FW",Hertha BSC,de Bundesliga,28,1991,2.2,5,4,0,3,2,0,0,,0,71,13,18.3,20,29,22,10,0,0,10,2,2,1,Matches
Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,28,1991,28.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,1,0,0,1,0,0,1,Matches
Pierre Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,26,1993,25.0,69,43,38,21,10,28,93,30.1,65,606,155,25.6,218,267,121,52,14,0,38,32,37,1,Matches
Jordan Lefort,fr FRA,DF,Amiens,fr Ligue 1,25,1993,9.4,5,4,3,2,0,3,7,42.9,4,65,20,30.8,42,23,0,10,2,1,8,7,50,0,Matches
Wu Lei,cn CHN,"FW,MF",Espanyol,es La Liga,27,1991,19.1,18,9,11,4,3,8,44,18.2,36,295,69,23.4,70,145,80,33,0,0,33,13,18,1,Matches
Toni Leistner,de GER,DF,Köln,de Bundesliga,28,1990,11.2,18,14,9,9,0,6,10,60.0,4,95,43,45.3,55,38,2,22,8,0,14,34,89,0,Matches
Moritz Leitner,de GER,MF,Norwich City,eng Premier League,26,1992,7.6,18,9,10,6,2,5,20,25.0,15,160,33,20.6,85,49,26,18,5,0,13,8,6,0,Matches
Lucas Leiva,br BRA,MF,Lazio,it Serie A,32,1987,20.1,69,41,27,38,4,24,85,28.2,61,454,135,29.7,212,210,32,25,7,0,18,46,49,0,Matches
Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,28,1991,4.9,8,6,6,2,0,5,9,55.6,4,58,19,32.8,39,18,1,13,2,0,11,11,27,1,Matches
Iñigo Lekue,es ESP,"FW,DF",Athletic Club,es La Liga,26,1993,6.9,23,15,13,6,4,13,22,59.1,9,118,38,32.2,33,54,31,12,0,0,12,4,12,0,Matches
Nicolas Lemaître,fr FRA,GK,Reims,fr Ligue 1,22,1997,1.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,1,0,1,Matches
Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,23,1995,10.3,12,9,5,5,2,4,12,33.3,8,196,48,24.5,66,97,33,18,0,0,18,6,3,0,Matches
Tim Lemperle,de GER,"FW,MF",Köln,de Bundesliga,17,2002,0.2,0,0,0,0,0,0,0,,0,4,0,0.0,2,1,1,0,0,0,0,0,0,0,Matches
Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,24,1995,26.9,49,37,32,16,1,12,29,41.4,17,282,122,43.3,145,128,9,44,19,1,25,35,112,1,Matches
Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,32,1987,5.5,15,9,7,4,4,9,14,64.3,5,143,27,18.9,37,67,39,8,2,0,6,7,6,0,Matches
Bernd Leno,de GER,GK,Arsenal,eng Premier League,27,1992,29.4,0,0,0,0,0,0,3,0.0,3,1,0,0.0,1,0,0,0,0,0,0,0,2,1,Matches
Christopher Lenz,de GER,DF,Union Berlin,de Bundesliga,24,1994,25.2,61,35,39,18,4,19,60,31.7,41,503,158,31.4,212,199,92,79,12,0,67,43,85,0,Matches
Donovan Léon,gf GUF,GK,Brest,fr Ligue 1,26,1992,1.4,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,1,0,0,1,0,0,0,Matches
Pedro León,es ESP,"MF,FW",Eibar,es La Liga,32,1986,21.1,27,15,12,8,7,7,22,31.8,15,381,101,26.5,68,184,129,30,1,0,29,17,11,0,Matches
Sergio León,es ESP,FW,Levante,es La Liga,30,1989,7.5,6,4,0,4,2,2,7,28.6,5,108,25,23.1,6,51,51,6,0,0,6,1,2,0,Matches
Lukas Lerager,dk DEN,MF,Genoa,it Serie A,26,1993,13.4,28,16,15,8,5,12,34,35.3,22,281,68,24.2,86,148,47,21,5,0,16,7,16,0,Matches
Mehdi Léris,fr FRA,"MF,FW",Sampdoria,it Serie A,21,1998,4.4,12,9,6,2,4,5,11,45.5,6,118,28,23.7,43,48,27,6,2,0,4,2,3,0,Matches
Jefferson Lerma,co COL,MF,Bournemouth,eng Premier League,24,1994,30.0,81,49,28,47,6,29,62,46.8,33,574,174,30.3,205,321,48,49,12,0,37,54,69,0,Matches
Karlo Letica,hr CRO,GK,SPAL,it Serie A,22,1997,9.0,0,0,0,0,0,0,2,0.0,2,1,0,0.0,1,0,0,0,0,0,0,0,0,0,Matches
Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,30,1988,30.7,19,12,3,8,8,2,17,11.8,15,391,124,31.7,9,105,277,16,3,0,13,6,13,0,Matches
Jamal Lewis,nir NIR,DF,Norwich City,eng Premier League,21,1998,25.6,56,31,45,6,5,18,44,40.9,26,369,113,30.6,231,97,41,55,12,0,43,28,68,1,Matches
Aaron Leya Iseka,be BEL,FW,Toulouse,fr Ligue 1,21,1997,8.6,5,5,0,3,2,2,3,66.7,1,137,28,20.4,10,73,54,6,1,0,5,1,7,0,Matches
Stephan Lichtsteiner,ch SUI,DF,Augsburg,de Bundesliga,35,1984,14.9,23,9,16,4,3,9,24,37.5,15,165,41,24.8,93,55,17,29,7,0,22,18,51,0,Matches
Dimitri Liénard,fr FRA,MF,Strasbourg,fr Ligue 1,31,1988,16.5,42,28,16,22,4,23,50,46.0,27,322,96,29.8,108,174,40,26,3,0,23,18,22,0,Matches
Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,23,1996,20.2,19,8,16,2,1,6,19,31.6,13,103,32,31.1,66,35,2,29,19,2,10,29,126,1,Matches
Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,19,1999,27.2,40,27,26,12,2,14,29,48.3,15,216,72,33.3,122,86,8,51,27,1,24,29,142,3,Matches
Isaac Lihadji,fr FRA,"DF,MF",Marseille,fr Ligue 1,17,2002,0.3,0,0,0,0,0,0,1,0.0,1,9,3,33.3,1,4,4,0,0,0,0,0,0,0,Matches
Lillo,es ESP,DF,Osasuna,es La Liga,30,1989,2.2,5,2,3,2,0,4,4,100.0,0,19,4,21.1,7,11,1,3,1,0,2,3,9,0,Matches
Anderson Lima,br BRA,MF,Lazio,it Serie A,19,1999,0.6,3,3,1,2,0,0,2,0.0,2,21,10,47.6,8,9,4,2,0,0,2,0,0,0,Matches
Lucas Lima,br BRA,"FW,DF",Nantes,fr Ligue 1,27,1991,3.0,5,4,2,3,0,0,2,0.0,2,53,10,18.9,13,33,7,2,0,0,2,1,1,0,Matches
Anthony Limbombe,be BEL,"FW,MF",Nantes,fr Ligue 1,25,1994,1.7,2,0,2,0,0,1,3,33.3,2,18,5,27.8,7,7,4,3,0,0,3,0,4,0,Matches
Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,25,1994,34.4,30,16,21,8,1,12,17,70.6,5,221,64,29.0,117,98,6,50,21,0,29,26,170,0,Matches
Karol Linetty,pl POL,MF,Sampdoria,it Serie A,24,1995,21.4,62,32,29,23,10,19,60,31.7,41,421,120,28.5,107,218,96,29,3,0,26,25,17,0,Matches
Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,eng Premier League,26,1992,10.4,13,9,5,2,6,4,16,25.0,12,336,80,23.8,62,173,101,9,1,0,8,2,1,0,Matches
Pol Lirola,es ESP,DF,Fiorentina,it Serie A,21,1997,28.2,30,20,19,6,5,15,35,42.9,20,227,63,27.8,86,80,61,32,5,0,27,26,63,0,Matches
Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,25,1993,25.9,32,21,22,9,1,16,29,55.2,13,205,76,37.1,127,74,4,30,9,0,21,28,138,2,Matches
Fernando Llorente,es ESP,FW,Napoli,it Serie A,34,1985,5.6,1,1,0,1,0,1,2,50.0,1,108,28,25.9,2,42,64,6,1,0,5,0,3,0,Matches
Marcos Llorente,es ESP,"MF,FW",Atlético Madrid,es La Liga,24,1995,15.2,33,22,8,19,6,8,26,30.8,18,309,98,31.7,58,167,84,30,5,0,25,14,15,0,Matches
Gautier Lloris,fr FRA,DF,Nice,fr Ligue 1,24,1995,3.0,5,4,5,0,0,4,6,66.7,2,21,9,42.9,16,3,2,3,3,0,0,3,13,1,Matches
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,1,1,2,Matches
Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,eng Premier League,23,1996,16.6,51,33,13,31,7,9,53,17.0,44,420,134,31.9,141,211,68,29,6,0,23,12,20,1,Matches
Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,24,1994,7.5,12,8,5,5,2,3,11,27.3,8,107,36,33.6,24,69,14,6,1,0,5,6,4,0,Matches
Stanislav Lobotka,sk SVK,MF,Celta Vigo,es La Liga,24,1994,15.4,23,17,12,11,0,6,26,23.1,20,234,63,26.9,91,114,29,12,1,0,11,8,8,0,Matches
Jürgen Locadia,nl NED,FW,Hoffenheim,de Bundesliga,25,1993,5.9,6,4,0,4,2,0,3,0.0,3,77,24,31.2,4,45,28,1,1,0,0,0,1,0,Matches
Jürgen Locadia,nl NED,"MF,FW",Brighton,eng Premier League,25,1993,1.0,1,1,0,1,0,0,0,,0,12,6,50.0,0,6,6,0,0,0,0,0,0,0,Matches
Manuel Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,27.2,85,58,34,43,8,24,72,33.3,48,495,166,33.5,193,213,89,54,16,1,38,34,37,1,Matches
Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,21,1998,26.6,73,46,29,32,12,38,78,48.7,40,363,101,27.8,177,141,45,63,8,0,55,45,62,0,Matches
Ruben Loftus-Cheek,eng ENG,"MF,FW",Chelsea,eng Premier League,23,1996,2.3,0,0,0,0,0,0,1,0.0,1,21,10,47.6,8,4,9,3,1,0,2,1,3,0,Matches
Enzo Loiodice,fr FRA,MF,Dijon,fr Ligue 1,18,2000,2.1,5,5,1,2,2,2,4,50.0,2,46,14,30.4,14,27,5,3,0,0,3,1,1,0,Matches
Kevin Long,ie IRL,DF,Burnley,eng Premier League,28,1990,6.3,10,8,8,2,0,3,8,37.5,5,54,17,31.5,35,17,2,15,9,0,6,4,39,0,Matches
Shane Long,ie IRL,FW,Southampton,eng Premier League,32,1987,15.5,19,15,5,10,4,5,22,22.7,17,315,98,31.1,31,120,164,18,4,0,14,3,12,1,Matches
Matthew Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,19,2000,6.4,6,3,3,3,0,1,11,9.1,10,189,34,18.0,74,102,13,3,1,1,2,6,2,0,Matches
Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,15.3,43,21,19,20,4,20,54,37.0,34,512,112,21.9,207,247,58,31,3,0,28,21,30,2,Matches
Ademola Lookman,eng ENG,"MF,FW",RB Leipzig,de Bundesliga,21,1997,3.4,8,5,4,2,2,4,6,66.7,2,68,19,27.9,17,33,18,3,0,0,3,1,0,0,Matches
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,28,1990,26.0,0,0,0,0,0,0,1,0.0,1,7,2,28.6,7,0,0,0,0,0,0,1,0,0,Matches
Rony Lopes,pt POR,FW,Sevilla,es La Liga,23,1995,1.5,1,1,0,1,0,1,2,50.0,1,20,8,40.0,4,14,2,3,0,0,3,2,0,0,Matches
Rony Lopes,pt POR,FW,Monaco,fr Ligue 1,23,1995,0.9,2,1,0,2,0,0,0,,0,15,4,26.7,2,6,7,0,0,0,0,0,0,0,Matches
Adrián López,es ESP,"FW,MF",Osasuna,es La Liga,31,1988,16.0,10,6,2,4,4,4,20,20.0,16,185,55,29.7,17,88,80,10,2,0,8,5,9,0,Matches
David López,es ESP,"DF,MF",Espanyol,es La Liga,29,1989,27.3,39,30,18,19,2,14,44,31.8,30,380,119,31.3,158,201,21,50,15,0,35,34,95,0,Matches
Diego López,es ESP,GK,Espanyol,es La Liga,37,1981,35.9,2,2,2,0,0,1,2,50.0,1,7,1,14.3,7,0,0,0,0,0,0,2,1,1,Matches
Javi López,es ESP,DF,Alavés,es La Liga,17,2002,1.0,5,3,3,2,0,1,2,50.0,1,18,9,50.0,9,8,1,1,1,0,0,1,6,0,Matches
Javi López,es ESP,DF,Espanyol,es La Liga,33,1986,15.4,47,26,23,18,6,17,39,43.6,22,197,61,31.0,94,74,29,25,7,0,18,22,53,0,Matches
Lluis López,es ESP,DF,Espanyol,es La Liga,22,1997,3.3,2,1,1,1,0,2,3,66.7,1,29,9,31.0,15,14,0,5,0,0,5,1,10,0,Matches
Maxime Lopez,fr FRA,"MF,FW",Marseille,fr Ligue 1,21,1997,12.3,13,10,6,7,0,2,28,7.1,26,227,64,28.2,53,119,55,10,2,0,8,8,5,0,Matches
Pau López,es ESP,GK,Roma,it Serie A,24,1994,31.0,0,0,0,0,0,0,2,0.0,2,12,3,25.0,12,0,0,0,0,0,0,1,2,3,Matches
Roberto López,es ESP,MF,Real Sociedad,es La Liga,19,2000,0.3,0,0,0,0,0,0,0,,0,6,1,16.7,2,2,2,1,0,0,1,0,1,0,Matches
Unai López,es ESP,MF,Athletic Club,es La Liga,23,1995,19.9,38,27,14,23,1,9,42,21.4,33,339,101,29.8,95,199,45,19,2,0,17,17,23,1,Matches
Iker Losada,es ESP,"MF,FW",Celta Vigo,es La Liga,17,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Albert Lottin,fr FRA,MF,Bordeaux,fr Ligue 1,17,2001,0.5,3,3,3,0,0,1,3,33.3,2,21,6,28.6,5,15,1,0,0,0,0,1,2,0,Matches
Imran Louza,fr FRA,"MF,FW",Nantes,fr Ligue 1,20,1999,22.3,58,45,19,31,8,17,53,32.1,36,596,147,24.7,105,307,184,29,2,0,27,19,17,0,Matches
Matteo Lovato,it ITA,DF,Hellas Verona,it Serie A,19,2000,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Dejan Lovren,hr CRO,DF,Liverpool,eng Premier League,30,1989,8.6,16,9,12,4,0,7,13,53.8,6,80,22,27.5,56,22,2,13,6,0,7,11,81,1,Matches
Eduard Löwen,de GER,"MF,FW",Augsburg,de Bundesliga,22,1997,7.5,14,10,8,4,2,3,14,21.4,11,173,42,24.3,32,92,49,12,3,0,9,3,9,0,Matches
Eduard Löwen,de GER,MF,Hertha BSC,de Bundesliga,22,1997,3.5,9,6,3,5,1,4,9,44.4,5,70,19,27.1,24,38,8,4,1,0,3,5,6,0,Matches
Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,30,1989,17.0,44,24,20,21,3,24,43,55.8,19,202,60,29.7,99,74,29,42,9,1,33,26,79,1,Matches
Hirving Lozano,mx MEX,FW,Napoli,it Serie A,24,1995,11.1,10,7,1,6,3,2,12,16.7,10,274,49,17.9,35,110,129,16,0,0,16,5,2,0,Matches
Pol Lozano,es ESP,"MF,FW",Espanyol,es La Liga,19,1999,1.9,5,4,3,2,0,2,6,33.3,4,44,18,40.9,26,13,5,6,1,0,5,1,2,0,Matches
Jan Luca Rumpf,de GER,DF,Paderborn 07,de Bundesliga,20,1999,1.0,3,3,3,0,0,3,4,75.0,1,6,4,66.7,4,1,1,0,0,0,0,0,2,0,Matches
Lucas,br BRA,MF,Hoffenheim,de Bundesliga,20,1999,0.7,1,0,1,0,0,0,1,0.0,1,14,1,7.1,5,7,2,2,1,0,1,1,1,0,Matches
Jean Lucas,br BRA,MF,Lyon,fr Ligue 1,21,1998,2.2,14,9,8,4,2,3,12,25.0,9,73,21,28.8,26,41,6,4,1,0,3,3,0,0,Matches
Fabio Lucioni,it ITA,DF,Lecce,it Serie A,31,1987,32.8,34,23,28,6,0,8,29,27.6,21,241,77,32.0,173,60,8,68,40,1,28,34,187,3,Matches
José Luis Gayà,es ESP,DF,Valencia,es La Liga,24,1995,22.1,43,24,27,13,3,18,40,45.0,22,249,76,30.5,148,73,28,33,8,0,25,17,72,0,Matches
José Luis Morales,es ESP,"FW,MF",Levante,es La Liga,32,1987,28.0,15,7,4,8,3,6,32,18.8,26,353,78,22.1,50,167,136,25,1,0,24,8,10,0,Matches
José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,29,1990,27.2,92,51,56,34,2,32,67,47.8,35,500,186,37.2,245,235,20,58,16,1,42,62,142,1,Matches
José Luis Rodríguez,pa PAN,FW,Alavés,es La Liga,21,1998,0.2,0,0,0,0,0,0,3,0.0,3,12,2,16.7,1,7,4,0,0,0,0,0,0,0,Matches
David Luiz,br BRA,DF,Arsenal,eng Premier League,32,1987,31.2,33,20,22,10,1,10,26,38.5,16,191,66,34.6,143,43,5,63,40,0,23,30,183,3,Matches
Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,21,1998,29.0,52,33,34,14,4,19,66,28.8,47,592,155,26.2,263,263,66,64,18,1,46,36,44,2,Matches
Jordan Lukaku,be BEL,DF,Lazio,it Serie A,25,1994,3.9,4,3,1,2,1,1,3,33.3,2,48,16,33.3,22,15,11,7,1,0,6,0,6,0,Matches
Romelu Lukaku,be BEL,FW,Inter,it Serie A,26,1993,31.1,11,4,3,7,1,3,10,30.0,7,246,57,23.2,14,93,139,18,9,0,9,1,25,0,Matches
Dodi Lukebakio,cd COD,"FW,MF",Hertha BSC,de Bundesliga,21,1997,22.6,33,22,17,10,6,8,29,27.6,21,312,76,24.4,86,134,92,27,5,0,22,10,13,0,Matches
Saša Lukić,rs SRB,MF,Torino,it Serie A,22,1996,18.7,41,29,17,21,3,14,35,40.0,21,436,111,25.5,109,240,87,33,8,0,25,25,19,0,Matches
Senad Lulić,ba BIH,DF,Lazio,it Serie A,33,1986,17.5,34,24,19,8,7,13,48,27.1,35,290,94,32.4,109,124,57,34,4,0,30,22,25,0,Matches
John Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,27.3,50,33,22,18,10,19,68,27.9,49,605,172,28.4,173,302,130,29,4,0,25,33,51,0,Matches
Sebastiano Luperto,it ITA,DF,Napoli,it Serie A,22,1996,5.9,12,8,8,3,1,2,6,33.3,4,52,16,30.8,25,24,3,10,3,0,7,7,21,0,Matches
Arnaud Lusamba,fr FRA,"MF,FW",Nice,fr Ligue 1,22,1997,10.9,24,16,12,7,5,5,25,20.0,20,282,81,28.7,73,128,81,13,0,0,13,5,4,0,Matches
Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10.0,0,0,0,0,0,0,2,0.0,2,0,0,,0,0,0,0,0,0,0,1,1,0,Matches
Lyanco,br BRA,DF,Torino,it Serie A,22,1997,12.6,25,15,12,11,2,5,10,50.0,5,122,39,32.0,70,48,4,38,22,0,16,21,63,2,Matches
Charalambos Lykogiannis,gr GRE,DF,Cagliari,it Serie A,25,1993,13.4,23,11,15,5,3,10,19,52.6,9,176,43,24.4,118,51,7,44,6,0,38,20,53,1,Matches
Yann M'Vila,fr FRA,"MF,DF",Saint-Étienne,fr Ligue 1,29,1990,21.6,34,21,19,15,0,9,40,22.5,31,301,87,28.9,99,179,23,21,4,0,17,45,62,1,Matches
Alexis Mac Allister,ar ARG,"MF,FW",Brighton,eng Premier League,20,1998,3.9,9,4,4,3,2,4,9,44.4,5,105,25,23.8,27,51,27,14,1,0,13,1,1,0,Matches
Darwin Machís,ve VEN,"FW,MF",Granada,es La Liga,26,1993,23.7,28,19,12,9,7,12,33,36.4,21,358,94,26.3,96,154,108,36,3,0,33,26,13,0,Matches
Yvann Macon,GPE,DF,Saint-Étienne,fr Ligue 1,20,1998,1.1,4,2,4,0,0,1,2,50.0,1,22,5,22.7,11,11,0,5,0,0,5,3,3,0,Matches
James Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,29.2,56,39,19,23,14,22,69,31.9,47,627,199,31.7,160,338,129,21,1,0,20,10,8,1,Matches
Lisandro Magallán,ar ARG,DF,Alavés,es La Liga,25,1993,13.3,25,13,15,10,0,6,14,42.9,8,89,24,27.0,57,32,0,19,8,0,11,14,76,1,Matches
Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,34,1984,15.5,31,19,14,12,5,11,35,31.4,24,258,65,25.2,97,129,32,26,6,0,20,21,19,1,Matches
Giangiacomo Magnani,it ITA,"DF,MF",Brescia,it Serie A,23,1995,1.3,2,0,2,0,0,0,2,0.0,2,6,1,16.7,6,0,0,3,1,0,2,2,4,0,Matches
Giangiacomo Magnani,it ITA,DF,Sassuolo,it Serie A,23,1995,1.6,0,0,0,0,0,0,2,0.0,2,5,2,40.0,5,0,0,4,2,0,2,2,11,0,Matches
Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,21,1998,2.6,15,11,5,8,2,3,7,42.9,4,81,33,40.7,31,37,13,8,0,0,8,7,8,0,Matches
Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,1993,38.0,44,27,25,18,1,14,36,38.9,22,240,90,37.5,155,77,8,45,25,0,20,75,245,1,Matches
Abdallahi Mahmoud,mr MTN,MF,Alavés,es La Liga,19,2000,1.7,5,5,2,2,1,1,6,16.7,5,39,12,30.8,16,19,4,1,0,0,1,6,3,0,Matches
Riyad Mahrez,dz ALG,FW,Manchester City,eng Premier League,28,1991,21.6,32,21,9,13,10,13,48,27.1,35,394,111,28.2,72,154,168,38,1,0,37,19,7,0,Matches
Thiago Maia,br BRA,MF,Lille,fr Ligue 1,22,1997,0.5,4,3,1,3,0,0,1,0.0,1,13,5,38.5,3,9,1,0,0,0,0,1,1,0,Matches
Arne Maier,de GER,MF,Hertha BSC,de Bundesliga,20,1999,5.9,9,3,5,2,2,3,8,37.5,5,127,35,27.6,45,66,16,9,0,0,9,7,2,1,Matches
Habib Maïga,ci CIV,MF,Metz,fr Ligue 1,23,1996,25.2,96,68,44,43,9,27,77,35.1,50,785,198,25.2,282,418,85,58,7,0,51,32,51,0,Matches
Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,28.0,0,0,0,0,0,0,0,,0,3,2,66.7,3,0,0,0,0,0,0,1,0,1,Matches
Ainsley Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,21,1997,15.4,41,27,30,9,2,14,42,33.3,28,297,84,28.3,179,86,32,29,5,0,24,29,41,0,Matches
Josh Maja,ng NGA,FW,Bordeaux,fr Ligue 1,20,1998,8.2,6,5,0,4,2,2,12,16.7,10,185,40,21.6,13,84,88,11,4,0,7,2,2,0,Matches
Abdul Majeed Waris,gh GHA,FW,Strasbourg,fr Ligue 1,27,1991,4.1,9,6,4,3,2,4,8,50.0,4,49,18,36.7,14,20,15,3,0,0,3,4,0,0,Matches
Žan Majer,si SVN,MF,Lecce,it Serie A,27,1992,17.8,34,20,16,13,5,10,52,19.2,42,394,91,23.1,173,172,49,40,8,1,32,24,24,1,Matches
Jean-Victor Makengo,fr FRA,"MF,FW",Toulouse,fr Ligue 1,21,1998,11.0,16,10,5,10,1,3,14,21.4,11,211,62,29.4,63,104,44,10,1,0,9,3,6,0,Matches
Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,24,1995,32.2,53,34,13,32,8,15,55,27.3,40,698,206,29.5,134,423,141,47,9,1,38,53,56,1,Matches
Nikola Maksimović,rs SRB,DF,Napoli,it Serie A,27,1991,19.0,35,20,23,12,0,16,27,59.3,11,166,39,23.5,86,68,12,28,14,0,14,28,65,0,Matches
Kévin Malcuit,ma MAR,DF,Napoli,it Serie A,28,1991,2.8,8,5,3,4,1,5,6,83.3,1,30,6,20.0,13,12,5,8,1,0,7,3,1,0,Matches
Daniel Maldini,it ITA,MF,Milan,it Serie A,17,2001,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",Atalanta,it Serie A,26,1993,16.2,20,14,5,14,1,7,31,22.6,24,309,89,28.8,46,175,88,15,1,0,14,4,7,0,Matches
Yunus Mallı,tr TUR,"FW,MF",Union Berlin,de Bundesliga,27,1992,7.5,9,4,1,5,3,6,8,75.0,2,110,26,23.6,19,58,33,8,0,0,8,7,4,0,Matches
Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,28,1991,21.8,63,28,43,18,2,20,50,40.0,30,292,79,27.1,151,106,35,53,7,0,46,25,90,1,Matches
Streli Mamba,de GER,FW,Paderborn 07,de Bundesliga,25,1994,16.9,15,11,2,7,6,5,13,38.5,8,447,106,23.7,20,210,217,15,4,0,11,6,8,0,Matches
Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,19,1999,1.6,0,0,0,0,0,0,0,,0,26,12,46.2,9,15,2,2,0,0,2,3,8,0,Matches
Vincent Manceau,fr FRA,DF,Angers,fr Ligue 1,30,1989,22.0,49,29,25,19,5,22,51,43.1,29,290,101,34.8,168,89,33,47,3,0,44,21,59,0,Matches
Gianluca Mancini,it ITA,"DF,MF",Roma,it Serie A,23,1996,29.4,55,35,31,22,2,15,46,32.6,31,381,108,28.3,209,145,27,48,17,0,31,59,119,1,Matches
Marco Mancosu,it ITA,"MF,FW",Lecce,it Serie A,30,1988,25.8,24,16,9,10,5,6,49,12.2,43,400,92,23.0,114,185,101,30,10,0,20,17,23,0,Matches
Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,34,1985,26.3,0,0,0,0,0,0,4,0.0,4,6,2,33.3,6,0,0,0,0,0,0,1,0,1,Matches
